snp_candidate,libdem_vote,labour_share,ukip_vote,conservative_share,green_vote,green_swing,labour_vote,ukip_share,libdem_swing,constituency_code,conservative_candidate,ukip_swing,green_share,majority,ukip_candidate,conservative_swing,green_candidate,labour_candidate,conservative_vote,snp_swing,turnout,snp_share,snp_vote,libdem_share,libdem_candidate,labour_swing
,18047,36.0,2668,15.7,4109,0.3,18646,5.2,-4.3,E14000617,Chamali Fernando,2.8,7.9,LAB,Patrick O'Flynn,-9.9,Rupert Read,Daniel Zeichner,8117,,62.1,,,34.9,Julian Huppert,11.7
,1270,33.7,8224,44.2,906,1.9,15888,17.5,-14.3,E14000618,Amanda Milling,14.0,1.9,CON,Grahame Wiggin,4.1,Paul Woodhead,Janos Toth,20811,,63.2,,,2.7,Ian Jackson,0.6
,5687,25.0,6776,40.2,2608,4.3,11448,14.8,-25.0,E14000616,George Eustice,9.7,5.7,CON,Bob Smith,2.6,Geoff Garbett,Michael Foster,18452,,68.5,,,12.4,Julia Goldsworthy,8.6
,6643,12.8,7171,52.2,4866,7.0,6985,13.2,-22.2,E14000623,Mel Stride,7.8,8.9,CON,John Conway,0.7,Andy Williamson,Lynne Richards,28436,,74.9,,,12.2,Alex White,5.9
,16603,15.0,7049,31.7,1492,2.4,7150,14.8,-13.4,E14000621,Matthew Maxwell Scott,11.9,3.1,LD,Bill Main-Ian,-5.1,Ross Hemingway,Siobhan Tate,15093,,68.1,,,34.9,Tom Brake,6.3
,1087,37.8,5277,44.3,1125,1.2,16099,12.4,-13.0,E14000620,John Stevenson,10.1,2.6,CON,Fiona Mills,5.0,Helen Davison,Lee Sherriff,18873,,64.7,,,2.6,Loraine Birchall,0.5
,801,13.8,14178,50.9,1076,2.4,6283,31.2,-7.6,E14000622,Rebecca Harris,31.2,2.4,CON,Jamie Huntman,6.9,Dominic Ellis,Joe Cooke,23112,,66.7,,,1.8,Sereena Davey,-0.9
,3314,18.8,7459,56.1,2664,2.2,10173,13.8,-18.8,E14000624,Dan Poulter,9.4,4.9,CON,Mark Cole,5.3,Rhodri Griffiths,Jack Abbott,30317,,68.7,,,6.1,Jon Neal,2.6
,3605,21.9,8330,54.3,,,11453,15.9,-14.6,E14000625,Edward Argar,12.6,,CON,Lynton Yates,4.7,,Sean Kelly-Walsh,28384,,67.6,,,6.9,Simon Sansome,2.2
,1360,23.6,8581,50.2,1101,1.7,10159,19.9,-10.2,E14000626,Tracey Crouch,16.9,2.6,CON,Ian Wallace,4.0,Luke Balnave,Tristan Osborne,21614,,62.8,,,3.2,Thomas Quinton,-8.7
,2091,23.1,2039,62.9,1474,2.0,9300,5.1,-11.0,E14000629,Greg Hands,3.9,3.7,CON,Adrian Noble,2.5,Guy Rubin,Alexandra Sanderson,25322,,63.4,,,5.2,Simon Bailey,4.6
,6394,17.6,7652,51.5,1892,2.6,9482,14.2,-24.9,E14000628,Simon Burns,11.4,3.5,CON,Mark Gough,5.4,Angela Thomson,Chris Vince,27732,,68.5,,,11.9,Stephen Robinson,6.7
,4761,12.7,7218,59.1,2902,4.0,6712,13.7,-19.5,E14000631,Cheryl Gillan,9.6,5.5,CON,Alan Stevens,-1.3,Gill Walker,Ben Davies,31138,,71.8,,,9.0,Kirsten Johnson,7.1
,16436,16.3,4423,43.1,,,8673,8.3,-16.1,E14000627,Mary Robinson,5.6,,CON,Shaun Hopkins,2.3,,Martin Miller,22889,,72.5,,,31.0,Mark Hunter,7.0
,6301,47.9,7523,18.1,1352,1.7,21829,16.5,-24.0,E14000632,Mark Vivis,13.4,3.0,LAB,Stuart Yeowart,2.3,Matt Genn,Toby Perkins,8231,,63.2,,,13.8,Julia Cambridge,8.9
,18274,7.3,3808,46.1,2689,5.0,3902,7.1,-16.5,E14000630,Alex Chalk,4.8,5.0,CON,Christina Simmonds,5.0,Adam Van Coevorden,Paul Gilbert,24790,,69.5,,,34.0,Martin Horwood,2.1
,2400,28.8,5644,47.9,1854,2.7,12613,12.9,-11.3,E14000634,Iain Duncan Smith,10.3,4.2,CON,Freddy Vachha,-4.8,Rebecca Tully,Bilal Mahmood,20999,,65.7,,,5.5,Anne Crook,6.1
,4865,12.1,8540,57.7,3742,6.5,6933,14.9,-18.9,E14000633,Andrew Tyrie,8.1,6.5,CON,Andrew Moncreiff,2.3,Jasper Richmond,Mark Farwell,32953,,68.4,,,8.5,Andrew Smith,1.7
,2381,34.1,4151,48.6,2501,2.7,18103,7.8,-15.7,E14000636,Theresa Villiers,5.0,4.7,CON,Victor Kaye,-0.2,A M Poppy,Amy Trevethan,25759,,68.1,,,4.5,Marisha Ray,8.9
,1354,45.1,6995,36.3,1111,2.1,23322,13.5,-11.4,E14000637,Robert Loughenbury,9.5,2.1,LAB,Mark Smith,-1.7,Alistair Straw,Lindsay Hoyle,18792,,69.2,,,2.6,Stephen Fenn,1.9
,3263,9.5,10663,58.1,2149,4.3,4745,21.5,-18.7,E14000638,Christopher Chope,13.0,4.3,CON,Robin Grey,1.7,Shona Dunn,Andrew Satherley,28887,,71.7,,,6.6,Andy Canning,-0.3
,16278,8.2,5884,47.6,2330,3.4,4561,10.6,-16.4,E14000635,Michelle Donelan,7.2,4.2,CON,Julia Reid,6.5,Tina Johnston,Andy Newman,26354,,74.6,,,29.4,Duncan Hames,1.3
,2521,27.4,1894,54.1,1953,3.3,9899,5.2,-13.5,E14000639,Mark Field,3.4,5.4,CON,Robert Stephenson,1.9,Hugh Small,Nik Slingsby,19570,,59.3,,,7.0,Belinda Brooks-Gordon,5.2
,5153,47.3,5232,22.2,2687,5.9,21596,11.5,-26.4,E14000641,Rebecca Coulson,9.6,5.9,LAB,Liam Clark,9.0,Jonathan Elmer,Roberta Blackman-Woods,10157,,66.4,,,11.3,Craig Martin,3.0
,812,14.4,19642,36.7,1184,1.4,6364,44.4,-11.1,E14000642,Giles Watling,44.4,2.7,UKIP,Douglas Carswell,-16.4,Chris Southall,Tim Young,16205,,64.1,,,1.8,David Grace,-10.6
,4623,20.4,6922,53.3,1876,3.7,10391,13.6,-22.8,E14000646,Fiona Bruce,9.4,3.7,CON,Lee Slaughter,7.5,Alec Heath,Darren Price,27164,,70.4,,,9.1,Peter Hirst,3.2
,2870,43.2,4148,43.1,,,22118,8.1,-13.5,E14000640,Stephen Mosley,5.5,,LAB,Steve Ingram,2.5,,Chris Matheson,22025,,70.8,,,5.6,Bob Thompson,8.2
,13344,16.2,5870,38.9,2499,3.6,7852,12.1,-20.5,E14000644,Will Quince,9.2,5.1,CON,John Pitts,6.1,Mark Goacher,Jordan Newell,18919,,65.5,,,27.5,Bob Russell,3.8
,1368,42.3,6148,35.8,1179,2.1,16750,15.5,-6.7,E14000647,Stephen Haraldsen,13.2,3.0,LAB,Michael Pye,-1.3,Allan Todd,Jamie Reed,14186,,63.8,,,3.5,Danny Gallagher,-3.8
,2007,52.2,6278,23.1,1245,2.9,22025,14.9,-11.9,E14000649,Michelle Lowe,11.9,2.9,LAB,Avtar Taggar,0.9,Matthew Handley,Colleen Fletcher,9751,,55.3,,,4.8,Russell Field,2.9
,1779,42.3,5709,35.0,1719,2.5,18472,13.1,-14.0,E14000651,Gary Ridley,9.2,3.9,LAB,Mark Taylor,1.5,Ben Gallaher,Jim Cunningham,15284,,61.2,,,4.1,Greg Judge,0.5
,3407,35.0,5734,44.4,1919,1.8,19868,10.1,-22.2,E14000645,Jason McCartney,8.0,3.4,CON,Melanie Roberts,7.5,Chas Ball,Jane East,25246,,68.8,,,6.0,Cahal Burke,8.6
